Time (s),Extension (mm),Strain (%),Load (kN),Stress (MPa)
1000,0.00191,8,2.02,16.48876
1800,0.00367,15,3.78,30.87024
2600,0.00565,23,5.79,47.35852
3400,0.00747,30,7.59,62.03571
4200,0.00918,37,9.33,76.28010
5000,0.01125,45,11.36,92.86566
5800,0.01332,53,13.39,109.46075
6600,0.01511,60,15.08,123.31130
7400,0.01715,69,16.97,138.72211
8200,0.01897,76,18.78,153.52912
9000,0.01932,77,19.03,155.53204
9800,0.02110,84,20.71,169.33056
10600,0.02099,84,20.55,168.00847
11400,0.02284,91,22.38,182.97723
12200,0.02464,99,24.09,196.97075
13000,0.02650,106,25.87,211.49569
13800,0.02823,113,27.49,224.71982
14600,0.03008,120,29.28,239.37404
15400,0.03194,128,31.01,253.52743
16200,0.03370,135,32.62,266.68527
17000,0.03543,142,34.31,280.49922
17800,0.03729,149,36.02,294.47370
18600,0.03910,156,37.76,308.72137
19400,0.04082,163,39.35,321.65412
20200,0.04263,171,41.00,335.17412
21000,0.04430,177,42.49,347.32642
21800,0.04589,184,44.05,360.07653
22600,0.04762,190,45.65,373.17162
23400,0.04929,197,47.10,385.05761
24200,0.05102,204,48.71,398.20168
25000,0.05205,208,49.67,406.04560
25800,0.05363,215,51.17,418.27596
26600,0.05533,221,52.63,430.27295
27400,0.05704,228,54.17,442.83811
28200,0.05883,235,55.76,455.80742
29000,0.06054,242,57.28,468.23490
29800,0.06210,248,58.67,479.61975
30600,0.06386,255,60.20,492.11237
31400,0.06546,262,61.62,503.76133
32200,0.06713,269,63.04,515.32212
33000,0.06878,275,64.58,527.92923
33800,0.07039,282,65.97,539.27933
34600,0.07201,288,67.30,550.17287
35400,0.07358,294,68.62,560.98940
36200,0.07485,299,69.67,569.50835
37000,0.07645,306,70.98,580.24873
37800,0.07822,313,72.49,592.58488
38600,0.07985,319,73.79,603.23190
39400,0.08171,327,75.28,615.36496
40200,0.08339,334,76.62,626.34430
41000,0.08508,340,77.95,637.23533
41800,0.08673,347,79.29,648.17918
42600,0.08850,354,80.63,659.11384
43400,0.09010,360,81.96,670.01869
44200,0.09190,368,83.26,680.62348
45000,0.09346,374,84.43,690.20372
45800,0.09521,381,85.76,701.09464
46600,0.09682,387,86.93,710.66389
47400,0.09839,394,88.05,719.78453
48200,0.10026,401,89.39,730.78638
49000,0.10182,407,90.59,740.57580
49800,0.10350,414,91.74,749.94073
50600,0.10531,421,93.00,760.29326
51400,0.10702,428,94.18,769.94807
52200,0.10867,435,95.28,778.91304
53000,0.11033,441,96.44,788.39018
53800,0.11191,448,97.48,796.89657
54600,0.11369,455,98.65,806.43689
55400,0.11521,461,99.69,814.93239
56200,0.11687,467,100.74,823.56045
57000,0.11853,474,101.84,832.55302
57800,0.12019,481,102.84,840.70784
58600,0.12188,488,103.93,849.61635
59400,0.12359,494,104.97,858.07565
60200,0.12505,500,105.88,865.52550
61000,0.12702,508,107.02,874.84996
61800,0.12858,514,107.91,882.13497
62600,0.13010,520,108.81,889.52645
63400,0.13179,527,109.83,897.81858
64200,0.13329,533,110.66,904.65607
65000,0.13507,540,111.60,912.29600
65800,0.13693,548,112.60,920.52864
66600,0.13840,554,113.31,926.27851
67400,0.14026,561,114.31,934.47977
68200,0.14193,568,115.12,941.05997
69000,0.14367,575,115.98,948.12119
69800,0.14551,582,116.79,954.73077
70600,0.14723,589,117.58,961.16822
71400,0.14885,595,118.26,966.75918
72200,0.15105,604,119.26,974.92261
73000,0.15279,611,119.88,979.98867
73800,0.15464,619,120.66,986.39742
74600,0.15674,627,121.32,991.76043
75400,0.15864,635,121.99,997.25280
76200,0.16069,643,122.73,1003.33356
77000,0.16297,652,123.40,1008.74922
77800,0.16499,660,123.89,1012.77756
78600,0.16749,670,124.72,1019.58337
79400,0.16984,679,125.26,1023.99227
80200,0.17191,688,125.62,1026.91758
81000,0.17467,699,126.28,1032.29813
81800,0.17730,709,126.87,1037.12274
82600,0.17968,719,127.27,1040.45011
83400,0.18250,730,127.84,1045.05911
84200,0.18544,742,128.25,1048.41532
85000,0.18816,753,128.69,1052.00540
85800,0.19116,765,129.17,1055.91578
86600,0.19417,777,129.51,1058.69608
87400,0.19717,789,129.96,1062.38925
88200,0.20031,801,130.38,1065.87255
89000,0.20369,815,130.75,1068.89988
89800,0.20655,826,130.87,1069.87908
90600,0.21016,841,131.49,1074.94284
91400,0.21356,854,131.85,1077.86480
92200,0.21662,866,132.00,1079.04889
93000,0.22028,881,132.52,1083.33501
93800,0.22365,895,132.81,1085.69901
94600,0.22685,907,133.00,1087.24255
95400,0.23014,921,133.35,1090.11605
96200,0.23416,937,133.84,1094.10387
97000,0.23753,950,134.08,1096.08380
97800,0.24073,963,134.39,1098.61634
98600,0.24450,978,134.70,1101.17683
99400,0.24807,992,135.05,1103.97776
100200,0.25143,1006,135.33,1106.27916
101000,0.25514,1021,135.58,1108.31342
101800,0.25898,1036,135.94,1111.26284
102600,0.26223,1049,136.20,1113.38323
103400,0.26594,1064,136.52,1116.00588
104200,0.26954,1078,136.70,1117.50521
105000,0.27287,1091,137.04,1120.28509
105800,0.27646,1106,137.34,1122.76310
106600,0.27997,1120,137.56,1124.55883
107400,0.28338,1134,137.87,1127.04173
108200,0.28700,1148,138.18,1129.61838
109000,0.29062,1162,138.44,1131.73061
109800,0.29377,1175,138.44,1131.76234
110600,0.29762,1190,138.98,1136.10604
111400,0.30125,1205,139.24,1138.29333
112200,0.30455,1218,139.43,1139.83760
113000,0.30840,1234,139.78,1142.66083
113800,0.31194,1248,140.03,1144.70445
114600,0.31514,1261,140.12,1145.50051
115400,0.31872,1275,140.43,1147.99408
116200,0.32260,1290,140.84,1151.34187
117000,0.32595,1304,140.93,1152.08259
117800,0.32932,1317,141.29,1155.02545
118600,0.33317,1333,141.49,1156.67479
119400,0.33705,1348,141.88,1159.81476
120200,0.34026,1361,142.07,1161.37118
121000,0.34398,1376,142.29,1163.16649
121800,0.34793,1392,142.65,1166.12073
122600,0.35107,1404,142.79,1167.25298
123400,0.35493,1420,143.11,1169.91567
124200,0.35844,1434,143.15,1170.21595
125000,0.36199,1448,143.56,1173.54836
125800,0.36562,1462,143.83,1175.75152
126600,0.36923,1477,144.01,1177.28628
127400,0.37288,1492,144.27,1179.38596
128200,0.37652,1506,144.55,1181.70500
129000,0.38014,1521,144.76,1183.38039
129800,0.38364,1535,144.76,1183.37320
130600,0.38743,1550,145.27,1187.59643
131400,0.39114,1565,145.54,1189.78262
132200,0.39481,1579,145.76,1191.53004
133000,0.39831,1593,145.99,1193.48609
133800,0.40186,1607,146.20,1195.16809
134600,0.40544,1622,146.42,1196.96073
135400,0.40871,1635,146.53,1197.87696
136200,0.41280,1651,146.93,1201.10867
137000,0.41628,1665,147.11,1202.60673
137800,0.41944,1678,147.22,1203.48925
138600,0.42339,1694,147.53,1206.05256
139400,0.42710,1708,147.82,1208.42831
140200,0.43035,1721,147.90,1209.07178
141000,0.43393,1736,148.10,1210.67046
141800,0.43789,1752,148.44,1213.51530
142600,0.44115,1765,148.38,1212.99297
143400,0.44480,1779,148.84,1216.71078
144200,0.44854,1794,148.94,1217.59705
145000,0.45227,1809,149.31,1220.58044
145800,0.45551,1822,149.49,1222.09135
146600,0.45921,1837,149.64,1223.27320
147400,0.46306,1852,149.94,1225.73981
148200,0.46625,1865,150.12,1227.20162
149000,0.47001,1880,150.39,1229.40271
149800,0.47344,1894,150.29,1228.57614
150600,0.47697,1908,150.65,1231.56231
151400,0.48060,1922,150.93,1233.86628
152200,0.48416,1937,151.06,1234.91686
153000,0.48774,1951,151.24,1236.38171
153800,0.49149,1966,151.58,1239.13225
154600,0.49507,1980,151.75,1240.52877
155400,0.49859,1994,151.79,1240.87592
156200,0.50209,2008,152.16,1243.85548
157000,0.50575,2023,152.37,1245.61773
157800,0.50942,2038,152.56,1247.18937
158600,0.51295,2052,152.77,1248.86526
159400,0.51655,2066,152.97,1250.51071
160200,0.52013,2081,153.10,1251.58715
161000,0.52336,2093,153.18,1252.24398
161800,0.52746,2110,153.57,1255.45133
162600,0.53102,2124,153.71,1256.56198
163400,0.53448,2138,153.83,1257.51184
164200,0.53826,2153,154.03,1259.17086
